time	Vin	Vbe	Ib
6.748767009703443e-001	6.748767e-001	6.172712e-001	5.760552e-005
6.794804956132013e-001	6.794805e-001	6.186878e-001	6.079272e-005
6.840842902560586e-001	6.840843e-001	6.200608e-001	6.402350e-005
6.886880848989156e-001	6.886881e-001	6.213903e-001	6.729783e-005
6.932918795417729e-001	6.932919e-001	6.226762e-001	7.061574e-005
6.978956741846299e-001	6.978957e-001	6.239185e-001	7.397720e-005
7.024994688274872e-001	7.024995e-001	6.251172e-001	7.738224e-005
7.071032634703443e-001	7.071033e-001	6.262724e-001	8.083083e-005
7.143577277560586e-001	7.143577e-001	6.280167e-001	8.634099e-005
7.216121920417729e-001	7.216122e-001	6.296942e-001	9.191803e-005
7.288666563274872e-001	7.288666e-001	6.313047e-001	9.756197e-005
7.361211206132015e-001	7.361211e-001	6.328483e-001	1.032728e-004
7.433755848989156e-001	7.433756e-001	6.343250e-001	1.090505e-004
7.506300491846299e-001	7.506300e-001	6.357349e-001	1.148952e-004
7.578845134703443e-001	7.578845e-001	6.370778e-001	1.208067e-004
7.684871920417729e-001	7.684872e-001	6.389494e-001	1.295378e-004
7.790898706132015e-001	7.790899e-001	6.407432e-001	1.383467e-004
7.896925491846299e-001	7.896925e-001	6.424591e-001	1.472334e-004
8.002952277560586e-001	8.002952e-001	6.440972e-001	1.561980e-004
8.108979063274872e-001	8.108979e-001	6.456575e-001	1.652405e-004
8.215005848989156e-001	8.215006e-001	6.471399e-001	1.743607e-004
8.321032634703443e-001	8.321033e-001	6.485444e-001	1.835588e-004
8.530296027560586e-001	8.530296e-001	6.511396e-001	2.018900e-004
8.739559420417729e-001	8.739559e-001	6.535981e-001	2.203579e-004
8.948822813274872e-001	8.948823e-001	6.559200e-001	2.389623e-004
9.158086206132015e-001	9.158086e-001	6.581053e-001	2.577033e-004
9.367349598989156e-001	9.367349e-001	6.601540e-001	2.765809e-004
9.576612991846301e-001	9.576613e-001	6.620661e-001	2.955952e-004
9.785876384703443e-001	9.785876e-001	6.638416e-001	3.147461e-004
9.795642009703443e-001	9.795642e-001	6.639242e-001	3.156401e-004
9.990954509703443e-001	9.990954e-001	6.655366e-001	3.335588e-004
1.000000000000000e+000	-1.#IND00e+000	-1.#IND00e+000	-1.#IND00e+000
