time	V(n003)	V(n005)	V(n006)	I(R3)	Ib(Q5)
5.947985759703443e-001	9.383552e+000	7.973993e-001	7.271206e-001	1.461645e-002	7.027872e-005
5.977282634703443e-001	9.201488e+000	7.988641e-001	7.275469e-001	1.479851e-002	7.131716e-005
6.006579509703443e-001	9.019544e+000	8.003290e-001	7.279693e-001	1.498046e-002	7.235964e-005
6.035876384703443e-001	8.837733e+000	8.017938e-001	7.283877e-001	1.516227e-002	7.340607e-005
6.065173259703443e-001	8.656074e+000	8.032587e-001	7.288023e-001	1.534393e-002	7.445640e-005
6.094470134703443e-001	8.474577e+000	8.047235e-001	7.292129e-001	1.552542e-002	7.551056e-005
6.123767009703443e-001	8.293259e+000	8.061883e-001	7.296199e-001	1.570674e-002	7.656849e-005
6.153063884703443e-001	8.112130e+000	8.076532e-001	7.300231e-001	1.588787e-002	7.763012e-005
6.182360759703443e-001	7.931207e+000	8.091180e-001	7.304226e-001	1.606879e-002	7.869539e-005
6.211657634703443e-001	7.750499e+000	8.105829e-001	7.308186e-001	1.624950e-002	7.976425e-005
6.240954509703443e-001	7.570020e+000	8.120477e-001	7.312111e-001	1.642998e-002	8.083663e-005
6.270251384703443e-001	7.389780e+000	8.135126e-001	7.316000e-001	1.661022e-002	8.191248e-005
6.299548259703443e-001	7.209792e+000	8.149774e-001	7.319857e-001	1.679021e-002	8.299176e-005
6.328845134703443e-001	7.030066e+000	8.164423e-001	7.323679e-001	1.696993e-002	8.407438e-005
6.355351831132013e-001	6.867674e+000	8.177676e-001	7.327108e-001	1.713233e-002	8.505684e-005
6.381858527560586e-001	6.705530e+000	8.190929e-001	7.330511e-001	1.729447e-002	8.604188e-005
6.408365223989156e-001	6.543633e+000	8.204183e-001	7.333888e-001	1.745637e-002	8.702949e-005
6.434871920417729e-001	6.381985e+000	8.217436e-001	7.337239e-001	1.761802e-002	8.801968e-005
6.461378616846299e-001	6.220584e+000	8.230689e-001	7.340565e-001	1.777942e-002	8.901244e-005
6.487885313274872e-001	6.059432e+000	8.243943e-001	7.343865e-001	1.794057e-002	9.000777e-005
6.514392009703443e-001	5.898527e+000	8.257196e-001	7.347139e-001	1.810147e-002	9.100568e-005
6.545083973989156e-001	5.712552e+000	8.272542e-001	7.350900e-001	1.828745e-002	9.216423e-005
6.575775938274872e-001	5.526971e+000	8.287888e-001	7.354629e-001	1.847303e-002	9.332589e-005
6.606467902560586e-001	5.341782e+000	8.303234e-001	7.358328e-001	1.865822e-002	9.449066e-005
6.637159866846299e-001	5.156985e+000	8.318580e-001	7.361995e-001	1.884301e-002	9.565853e-005
