time	V(n013)	Ib(Q3)
9.244581741846299e-001	9.244582e-001	1.582192e-002
9.266903170417729e-001	9.266903e-001	1.600967e-002
9.289224598989156e-001	9.289224e-001	1.619771e-002
9.311546027560586e-001	9.311546e-001	1.638606e-002
9.333867456132013e-001	9.333867e-001	1.657471e-002
9.356188884703443e-001	9.356189e-001	1.676365e-002
9.413387545417729e-001	9.413387e-001	1.724924e-002
9.470586206132013e-001	9.470586e-001	1.773641e-002
9.527784866846299e-001	9.527785e-001	1.822517e-002
9.584983527560586e-001	9.584983e-001	1.871552e-002
9.642182188274872e-001	9.642182e-001	1.920744e-002
9.699380848989156e-001	9.699381e-001	1.970096e-002
9.756579509703443e-001	9.756579e-001	2.019605e-002
9.795642009703443e-001	9.795642e-001	2.053485e-002
9.990954509703443e-001	9.990954e-001	2.223777e-002
1.000000000000000e+000	1.000000e+000	2.231697e-002
